Nr. ,Egz.,Autorius ,Pavadinimas ,Metai ,Puslapiai 
450,užs.,Richard Morgan,Įniršio formos,2009,432
451,,Gary Gibson,Angelų stotys,2009,320
452,,Tobias S. Buckell,Krištolinis lietus,2009,320
453,1,Fred Saberhagen,Brolis Berserkeris (Berserkerio irštva),2009,320
454,1,Poul Anderson,"Tau faktorius (Epilogas, Žvaigždžių rūkas)",2009,304
455,,Stanislaw Lem,Žlugimas,2009,320
456,užs.,W. Michael Gear,Žvaigždžių smūgis,2009,368
457,1,Robert Silverberg,Sienos karalijos,2009,320
458,1,Timothy Zahn,Angelmasė,2009,352
459,,John Meaney,Kaulų daina,2009,320
460,1,Charles Sheffield,Protų samplaika,2009,320
461,,Roger MacBride Allen,Perskelta sfera,2009,320
462,1,Michael Skott Rohan,Paskui aušrą,2009,304
463,,Isaac Asimov,Fondo preliudija,2009,304
464,1,Vernor Vinge,Kur baigiasi vaivorykštės,2009,352
465,1,Neal Asher,Pradorų palydovas,2009,320
466,1,Tim Lebbon,Puolęs dievas,2009,320
467,,Isaac Asimov,Pakeliui į fondą,2009,304
468,,Ken Macleod,Įkandin Niutono,2009,304
469,,David Gemmell,Juodas Mėnulis,2009,304
470,,Michael Flynn,Eifelheimas,2010,400
471,,Damien Broderick,Žaidžiantys dievus,2010,304
472,,Damien Broderick,K-mašinos,2010,304
473,,W. Michael Gear,Artefaktas,2010,368
474,,Greg Bear,Dievo kalvė,2010,320
475,1,Gary Gibson,Atsispiriant traukai,2010,320
476,,Harry Turtledove,Bizantijos agentas,2010,320
477,,Michael Moorcock,"Brangakmenis kaukolėje (Pamišusio dievo amuletas,  Aušros kalavijas)",2010,368
478,1,Charles Stross,Singuliarumo dangus,2010,320
479,1,Eve Forward,Animistas,2010,304
480,užs.,Julij Burkin,Gėlės mūsų pelenuose,2011,304
481,,Julij Burkin,Smaragdinės rasos,2011,304
482,,Tim Powers,Magiškos vilnys,2011,320
483,,"Larry Niven, Jerry Pournelle, Michael Flynn",Puolę angelai,2011,368
484,,Glen Cook,Visų naktų tamsa,2011,256
485,,John Norman,Goro planeta,2011,320
486,,Glen Cook,Tamsos vaikas,2011,288
487,,"Mike Resnick ,Paul Ash",Antrasis kontaktas (Didysis kardas) ,2011,320
488,,John Norman,Goro karaliai žyniai,2011,304
489,,Bob Shaw,Orbitsvilis (Šuolis naktin),2012,320
490,,Glen Cook,Tamsa užslenka,2012,384
491,,Norman Spinrad,Geležinis sapnas,2012,272
492,,Harry Turtledove,Dingęs legionas,2013,336
493,,Harry Harrison,Plieninės žiurkės sugrįžimas,2013,240
494,1,John Gregory Betancourt,Ambero aušra,2013,224
495,,Sergej Antonov,Stabilizatorius. Minskas 2041,2014,284
496,,John Gregory Betancourt,Chaosas ir Amberas,2014,272
497,1,Philip K. Dick,Žmogus aukštoje pilyje,2014,254
Viso:,369,,,,
Liko:,128,,,,
Iešk:,,,,,
